team,name,position,height,weight,bday,years experience
MIA,Vladislav Goldin,C,7-0,250,5/12/2001,0
MIA,Tyler Herro,SG,6-5,195,1/20/2000,6
MIA,Kasparas Jakučionis,PG,6-5,200,5/29/2006,0
MIA,Jaime Jaquez Jr.,SF,6-6,225,2/18/2001,2
MIA,Keshad Johnson,SF,6-6,225,6/23/2001,1
MIA,Nikola Jović,PF,6-10,205,6/9/2003,3
MIA,Trevor Keels,SG,6-3,215,8/26/2003,1
MIA,Pelle Larsson,SG,6-5,215,2/23/2001,1
MIA,Davion Mitchell,PG,6-0,202,9/5/1998,4
MIA,Norman Powell,SG,6-3,215,5/25/1993,10
MIA,Dru Smith,SG,6-2,203,12/30/1997,3
MIA,Kel'el Ware,C,7-0,230,4/20/2004,1
MIA,Andrew Wiggins,SF,6-6,197,2/23/1995,11
MIA,Jahmir Young,PG,6-0,185,10/7/2000,1
MIL,Alex Antetokounmpo,SF,6-8,214,8/27/2001,0
MIL,Giannis Antetokounmpo,PF,6-11,243,12/6/1994,12
MIL,Thanasis Antetokounmpo,SF,6-7,219,7/18/1992,6
MIL,Cole Anthony,PG,6-2,185,5/15/2000,5
MIL,Amir Coffey,SG,6-7,210,6/17/1997,6
MIL,Ousmane Dieng,C,6-9,185,5/21/2003,3
MIL,A.J. Green,SG,6-4,190,9/27/1999,3
MIL,Gary Harris,SG,6-4,210,9/14/1994,11
MIL,Andre Jackson Jr.,SG,6-6,209,11/13/2001,2
MIL,Kyle Kuzma,PF,6-8,221,7/24/1995,8
MIL,Pete Nance,PF,6-9,225,2/19/2000,2
MIL,Kevin Porter Jr.,PG,6-5,203,5/4/2000,5
MIL,Bobby Portis,PF,6-9,250,2/10/1995,10
MIL,Taurean Prince,SF,6-6,218,3/22/1994,9
MIL,Ryan Rollins,PG,6-3,180,7/3/2002,3
MIL,Cormac Ryan,SG,6-5,195,10/26/1998,0
MIL,Mark Sears,PG,6-0,185,2/19/2002,0
MIL,Jericho Sims,C,6-10,250,10/20/1998,4
MIL,Cam Thomas,SG,6-3,210,10/13/2001,4
MIL,Gary Trent Jr.,SG,6-5,204,1/18/1999,7
MIL,Myles Turner,C,6-11,250,3/24/1996,10
MIN,Kyle Anderson,SF,6-8,230,9/20/1993,11
MIN,Joan Beringer,PF,6-11,230,11/11/2006,0
MIN,Jaylen Clark,SG,6-5,205,10/13/2001,1
MIN,Mike Conley,PG,6-1,175,10/11/1987,18
MIN,Rob Dillingham,PG,6-2,175,1/4/2005,1
MIN,Donte DiVincenzo,SG,6-4,203,1/31/1997,7
MIN,Ayo Dosunmu,SG,6-4,200,1/17/2000,4
MIN,Anthony Edwards,SG,6-4,225,8/5/2001,5
MIN,Enrique Freeman,PF,6-9,220,7/29/2000,1
MIN,Rudy Gobert,C,7-1,258,6/26/1992,12
MIN,Bones Hyland,PG,6-2,169,9/14/2000,4
MIN,Joe Ingles,SF,6-8,220,10/2/1987,11
MIN,Johnny Juzang,SG,6-7,226,3/17/2001,3
MIN,Jaden McDaniels,PF,6-9,185,9/29/2000,5
MIN,Leonard Miller,SF,6-10,220,11/26/2003,2
MIN,Julian Phillips,SF,6-6,198,11/5/2003,2
MIN,Zyon Pullin,SG,6-4,206,3/3/2001,1
MIN,Julius Randle,PF,6-9,250,11/29/1994,11
MIN,Naz Reid,C,6-9,264,8/26/1999,6
MIN,Terrence Shannon Jr.,SG,6-6,215,7/30/2000,1
MIN,Rocco Zikarsky,C,7-3,227,7/11/2006,0
NOP,Trey Alexander,SG,6-5,185,5/2/2003,1
NOP,Jose Alvarado,PG,6-0,179,4/12/1998,4
NOP,Saddiq Bey,SF,6-8,215,4/9/1999,4
NOP,Hunter Dickinson,C,7-1,255,11/25/2000,0
NOP,Jeremiah Fears,PG,6-3,190,10/14/2006,0
NOP,Jordan Hawkins,SG,6-5,190,4/29/2002,2
NOP,Herbert Jones,SF,6-7,206,10/6/1998,4
NOP,DeAndre Jordan,C,6-11,265,7/21/1988,17
NOP,Kevon Looney,C,6-9,222,2/6/1996,10
NOP,Karlo Matković,PF,6-10,231,3/30/2001,1
NOP,Bryce McGowens,SG,6-6,190,11/8/2002,3
NOP,Yves Missi,C,6-11,235,5/14/2004,1
NOP,Trey Murphy III,SF,6-8,206,6/18/2000,4
NOP,Dejounte Murray,PG,6-4,180,9/19/1996,8
NOP,Josh Oduro,PF,6-9,240,10/14/2000,0
NOP,Micah Peavy,SG,6-7,215,7/16/2001,0
NOP,Jordan Poole,PG,6-4,194,6/19/1999,6
NOP,Derik Queen,C,6-9,250,12/27/2004,0
NOP,Zion Williamson,PF,6-6,284,7/6/2000,5
NYK,Jose Alvarado,PG,6-0,179,4/12/1998,4
NYK,OG Anunoby,PF,6-7,240,7/17/1997,8
NYK,Mikal Bridges,SF,6-6,209,8/30/1996,7
NYK,Jalen Brunson,PG,6-2,190,8/31/1996,7
NYK,Jordan Clarkson,SG,6-5,194,6/7/1992,11
NYK,Pacôme Dadiet,SG,6-9,210,7/27/2005,1
NYK,Mohamed Diawara,SF,6-9,225,4/29/2005,0
NYK,Tosan Evbuomwan,SF,6-8,217,2/16/2001,2
NYK,Josh Hart,SF,6-5,215,3/6/1995,8
NYK,Ariel Hukporti,C,7-0,246,4/12/2002,1
NYK,Trey Jemison,C,6-10,270,11/28/1999,2
NYK,Dillon Jones,SF,6-5,235,10/29/2001,1
NYK,Tyler Kolek,PG,6-2,195,3/27/2001,1
NYK,Miles McBride,SG,6-2,195,9/8/2000,4
NYK,Kevin McCullar Jr.,SF,6-6,210,3/15/2001,1
NYK,Mitchell Robinson,C,7-0,240,4/1/1998,7
NYK,Landry Shamet,SG,6-5,190,3/13/1997,7
NYK,Jeremy Sochan,PF,6-8,230,5/20/2003,3
NYK,Karl-Anthony Towns,C,7-0,248,11/15/1995,10
NYK,Guerschon Yabusele,C,6-7,265,12/17/1995,3
OKC,Brooks Barnhizer,SG,6-5,230,3/2/2002,0
OKC,Buddy Boeheim,SF,6-5,205,11/11/1999,2
OKC,Branden Carlson,C,7-0,220,6/14/1999,1
OKC,Alex Caruso,SG,6-5,186,2/28/1994,8
OKC,Ousmane Dieng,C,6-9,185,5/21/2003,3
OKC,Luguentz Dort,SF,6-4,220,4/19/1999,6
OKC,Shai Gilgeous-Alexander,PG,6-6,195,7/12/1998,7
OKC,Isaiah Hartenstein,C,7-0,250,5/5/1998,7
OKC,Chet Holmgren,PF,7-1,208,5/1/2002,2
